Jurisdiction,Measure Names,Measure Values
Greene,COVID-19 Vaccine Regimen Completed,157255
Gentry,COVID-19 Vaccine Regimen Completed,3007
Gasconade,COVID-19 Vaccine Regimen Completed,7051
Franklin,COVID-19 Vaccine Regimen Completed,56714
Dunklin,COVID-19 Vaccine Regimen Completed,10909
Douglas,COVID-19 Vaccine Regimen Completed,3277
Dent,COVID-19 Vaccine Regimen Completed,5302
DeKalb,COVID-19 Vaccine Regimen Completed,4163
Daviess,COVID-19 Vaccine Regimen Completed,3414
Dallas,COVID-19 Vaccine Regimen Completed,6304
Dade,COVID-19 Vaccine Regimen Completed,3430
Crawford,COVID-19 Vaccine Regimen Completed,8685
Cooper,COVID-19 Vaccine Regimen Completed,8206
Cole,COVID-19 Vaccine Regimen Completed,42711
Clinton,COVID-19 Vaccine Regimen Completed,10395
Clay,COVID-19 Vaccine Regimen Completed,61045
Clark,COVID-19 Vaccine Regimen Completed,2078
Christian,COVID-19 Vaccine Regimen Completed,43002
Chariton,COVID-19 Vaccine Regimen Completed,3266
Cedar,COVID-19 Vaccine Regimen Completed,5188
Cass,COVID-19 Vaccine Regimen Completed,56656
Carter,COVID-19 Vaccine Regimen Completed,1917
Carroll,COVID-19 Vaccine Regimen Completed,4466
Cape Girardeau,COVID-19 Vaccine Regimen Completed,40797
Camden,COVID-19 Vaccine Regimen Completed,21761
Callaway,COVID-19 Vaccine Regimen Completed,23098
Caldwell,COVID-19 Vaccine Regimen Completed,3641
Butler,COVID-19 Vaccine Regimen Completed,15499
Buchanan,COVID-19 Vaccine Regimen Completed,39499
Boone,COVID-19 Vaccine Regimen Completed,117761
Bollinger,COVID-19 Vaccine Regimen Completed,3820
Benton,COVID-19 Vaccine Regimen Completed,9346
Bates,COVID-19 Vaccine Regimen Completed,6734
Barton,COVID-19 Vaccine Regimen Completed,4073
Barry,COVID-19 Vaccine Regimen Completed,14923
Audrain,COVID-19 Vaccine Regimen Completed,10283
Atchison,COVID-19 Vaccine Regimen Completed,2987
Andrew,COVID-19 Vaccine Regimen Completed,8482
Adair,COVID-19 Vaccine Regimen Completed,12552
Wright,COVID-19 Vaccine Regimen Initiated,7484
Worth,COVID-19 Vaccine Regimen Initiated,872
Webster,COVID-19 Vaccine Regimen Initiated,17615
Wayne,COVID-19 Vaccine Regimen Initiated,4507
